City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,oltinko'l,40.8011,72.1634,293.24,69,100,2.51,UZ,1716673016
333,dhidhdhoo,6.8833,73.1,302.71,76,100,6.79,MV,1716673027
334,tubarjal,30.4999,38.216,296.52,41,0,5.13,SA,1716673038
335,dowlatabad,32.7998,51.6955,295.97,27,0,3.09,IR,1716673048
336,gisborne,-38.6533,178.0042,287.78,56,18,3.12,NZ,1716673058
337,gorontalo,0.5412,123.0595,297.41,97,98,0.65,ID,1716673068
338,kone,-21.0595,164.8658,296.64,44,68,1.31,NC,1716672771
339,rongelap,11.1635,166.8941,301.1,81,79,8.18,MH,1716672764
340,reggane,26.7158,0.1714,307.43,7,0,3.14,DZ,1716673100
341,badger,64.8,-147.5333,282.1,84,75,3.6,US,1716672758
342,khandyga,62.6667,135.6,285.62,49,8,1.06,RU,1716672805
343,eckersdorf,50.0333,11.4,287.03,93,18,0.24,DE,1716673131
344,bakal,54.9417,58.8083,282.62,99,93,2.84,RU,1716673141
345,labytnangi,66.6572,66.4183,270.03,87,24,4.83,RU,1716672780
346,amga,60.8953,131.9608,284.0,55,26,1.18,RU,1716672803
347,inirida,3.8653,-67.9239,300.12,96,78,0.92,CO,1716672814
348,akaltara,22.0167,82.4333,304.68,46,90,1.88,IN,1716673186
349,klyuchi,52.2667,79.1667,279.14,95,100,2.38,RU,1716672763
350,mamuju,-2.6748,118.8885,299.34,89,49,1.99,ID,1716673207
351,levuka,50.1834,-105.4011,289.05,38,21,2.87,CA,1716673217
352,motilla del palancar,39.5709,-1.9068,290.61,38,29,0.45,ES,1716673227
353,juba,4.8517,31.5825,296.43,82,30,1.88,SS,1716673052
354,arraial do cabo,-22.9661,-42.0278,297.13,78,75,5.14,BR,1716673248
355,saint-francois,46.4154,3.9054,289.07,83,0,0.0,FR,1716672722
356,batangafo,7.3008,18.2833,294.97,94,84,1.66,CF,1716673268
357,hadibu,12.65,54.0333,302.77,79,21,2.67,YE,1716673279
358,bengkulu,-3.8004,102.2655,299.21,87,100,2.78,ID,1716673289
359,cova figueira,14.8905,-24.2934,292.45,65,100,3.15,CV,1716673300
360,ghat,24.9647,10.1728,306.78,16,71,3.24,LY,1716673310
361,kitimat,54.0524,-128.6534,287.42,64,99,5.36,CA,1716673320
362,colonia,50.9333,6.95,288.31,86,0,0.51,DE,1716672598
